At the end of March,Telecom Subscribers,State/overall,Total,Wireline,Wireless,Rural,Urban,Public,Private
2008,Telecom Subscribers (In Million),Andhra Pradesh,23.29,2.71,20.58,6.23,17.06,4.93,18.36
2009,Telecom Subscribers (In Million),Andhra Pradesh,32.95,2.55,30.4,9.17,23.78,5.66,27.29
2010,Telecom Subscribers (In Million),Andhra Pradesh,48.09,2.46,45.62,14.78,33.3,6.62,41.46
2011,Telecom Subscribers (In Million),Andhra Pradesh,63.05,2.37,60.68,20.66,42.39,9.31,53.74
2012,Telecom Subscribers (In Million),Andhra Pradesh,69.19,2.36,66.83,24.23,44.95,10.99,58.2
2013,Telecom Subscribers (In Million),Andhra Pradesh,66.6,2.24,64.36,26.06,40.55,11.23,55.37
2014,Telecom Subscribers (In Million),Andhra Pradesh,69.19,2.04,67.15,28.58,40.61,11.58,57.62
2015,Telecom Subscribers (In Million),Andhra Pradesh,73.82,1.87,71.95,31.02,42.8,11.1,62.72
2016,Telecom Subscribers (In Million),Andhra Pradesh,76.39,1.74,74.65,32.73,43.66,10.99,65.39
2017,Telecom Subscribers (In Million),Andhra Pradesh,86.58,1.64,84.94,38.73,47.85,11.14,75.44
2018,Telecom Subscribers (In Million),Andhra Pradesh,87.24,1.48,85.76,39.65,47.59,11.18,76.06
2019,Telecom Subscribers (In Million),Andhra Pradesh,88.17,1.44,86.73,42.24,45.93,11.13,77.04
2020,Telecom Subscribers (In Million),Andhra Pradesh,89.07,1.22,87.86,43.21,45.86,10.63,78.44
2021,Telecom Subscribers (In Million),Andhra Pradesh,90.14,1.41,88.73,44.88,45.26,10.25,79.89
2022,Telecom Subscribers (In Million),Andhra Pradesh,85.12,1.99,83.12,41.52,43.59,9.99,75.12
2008,Telecom Subscribers (In Million),Assam,4.34,0.43,3.91,1.12,3.22,1.35,2.99
2009,Telecom Subscribers (In Million),Assam,6.16,0.35,5.81,2.39,3.77,1.32,4.84
2010,Telecom Subscribers (In Million),Assam,9.06,0.31,8.76,4.76,4.31,1.45,7.61
2011,Telecom Subscribers (In Million),Assam,11.93,0.26,11.67,6.23,5.7,1.74,10.19
2012,Telecom Subscribers (In Million),Assam,14.44,0.23,14.21,7.45,6.99,1.49,12.95
2013,Telecom Subscribers (In Million),Assam,14.58,0.19,14.39,8.25,6.33,1.43,13.15
